T(K)	V(V)	DT	DV
1600	3.00E-04	100	5.00E-05
1800	4.00E-04	100	5.00E-05
2000	6.00E-04	100	5.00E-05
2100	7.00E-04	100	5.00E-05
1900	5.00E-04	100	5.00E-05
2100	7.50E-04	100	5.00E-05
2100	8.00E-04	100	5.00E-05
2100	8.50E-04	100	5.00E-05
2200	9.00E-04	100	5.00E-05
2300	1.20E-03	100	2.00E-04
2400	1.40E-03	100	2.00E-04
